"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "LOC_column" "transcript" "database" "uniprot_accession" "geneID" "species" "pident" "length" "mismatch" "gapopen" "qstart" "qend" "sstart" "send" "evalue" "bitscore" "reviewed" "entryname" "protein_name" "gene_name" "organism" "prot_length" "GO_ID" "GO_BP" "GO_MF" "GO_CC" "Genename_orderedlocus" "Induction" "Pathwaycommons" "Reactome" "Unipathway" "Interacts_with"
"gene-LOC134684350|LOC134684350" 54.1705370710535 -0.532110132326627 0.152124565184778 2.48094662546489e-05 0.00312169880200323 "LOC134684350" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134725797|LOC134725797" 94.9547619309761 0.656160586049312 0.182529266786773 1.53485471469946e-05 0.00213301761709065 "LOC134725797" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134703731|LOC134703731" 125.507653342336 0.230492930407755 0.088899892351081 0.00123965484172248 0.0474331089438023 "LOC134703731" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134725671|LOC134725671" 419.161337048917 -0.43369473700513 0.0683793020118756 1.6770075437309e-11 1.5675229083759e-08 "LOC134725671" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134706769|LOC134706769" 32.4817494000933 -0.520032919519197 0.219912874168521 0.000760235446539331 0.0355301466193346 "LOC134706769" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134685542|LOC134685542" 22.9184605552505 0.823410194112733 0.336892452615062 0.000486354948122834 0.0267413481140143 "LOC134685542" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134720609|LOC134720609" 32.3956475352321 -1.62409343904973 0.37910883496335 7.44459669925991e-07 0.000243549981016288 "LOC134720609" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134701218|LOC134701218" 198.747568363171 -0.019257231626145 0.106913122128898 0.00130874544996869 0.0489844826815779 "LOC134701218" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134703443|LOC134703443" 123.397894502985 0.235858560086089 0.0895740461948042 0.00106313329554384 0.0429387725477984 "LOC134703443" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134713904|LOC134713904" 72.4807754509702 -0.93493073686491 0.295948750678993 6.02981356229745e-05 0.00563509026136296 "LOC134713904" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
